date,name,issuer_type,issuer,note
03.10.00,Tag der Deutschen Einheit,BUND,BUND,
03.10.01,Tag der Deutschen Einheit,BUND,BUND,
03.10.02,Tag der Deutschen Einheit,BUND,BUND,
03.10.03,Tag der Deutschen Einheit,BUND,BUND,
03.10.04,Tag der Deutschen Einheit,BUND,BUND,
03.10.05,Tag der Deutschen Einheit,BUND,BUND,
03.10.06,Tag der Deutschen Einheit,BUND,BUND,
03.10.07,Tag der Deutschen Einheit,BUND,BUND,
03.10.08,Tag der Deutschen Einheit,BUND,BUND,
03.10.09,Tag der Deutschen Einheit,BUND,BUND,
03.10.10,Tag der Deutschen Einheit,BUND,BUND,
03.10.11,Tag der Deutschen Einheit,BUND,BUND,
03.10.12,Tag der Deutschen Einheit,BUND,BUND,
03.10.13,Tag der Deutschen Einheit,BUND,BUND,
03.10.14,Tag der Deutschen Einheit,BUND,BUND,
03.10.15,Tag der Deutschen Einheit,BUND,BUND,
03.10.16,Tag der Deutschen Einheit,BUND,BUND,
03.10.17,Tag der Deutschen Einheit,BUND,BUND,
03.10.18,Tag der Deutschen Einheit,BUND,BUND,
03.10.19,Tag der Deutschen Einheit,BUND,BUND,
03.10.20,Tag der Deutschen Einheit,BUND,BUND,
03.10.21,Tag der Deutschen Einheit,BUND,BUND,
03.10.22,Tag der Deutschen Einheit,BUND,BUND,
03.10.23,Tag der Deutschen Einheit,BUND,BUND,
03.10.24,Tag der Deutschen Einheit,BUND,BUND,
03.10.25,Tag der Deutschen Einheit,BUND,BUND,
03.10.26,Tag der Deutschen Einheit,BUND,BUND,
01.01.00,Neujahrstag,LAND,NRW,
01.01.01,Neujahrstag,LAND,NRW,
01.01.02,Neujahrstag,LAND,NRW,
01.01.03,Neujahrstag,LAND,NRW,
01.01.04,Neujahrstag,LAND,NRW,
01.01.05,Neujahrstag,LAND,NRW,
01.01.06,Neujahrstag,LAND,NRW,
01.01.07,Neujahrstag,LAND,NRW,
01.01.08,Neujahrstag,LAND,NRW,
01.01.09,Neujahrstag,LAND,NRW,
01.01.10,Neujahrstag,LAND,NRW,
01.01.11,Neujahrstag,LAND,NRW,
01.01.12,Neujahrstag,LAND,NRW,
01.01.13,Neujahrstag,LAND,NRW,
01.01.14,Neujahrstag,LAND,NRW,
01.01.15,Neujahrstag,LAND,NRW,
01.01.16,Neujahrstag,LAND,NRW,
01.01.17,Neujahrstag,LAND,NRW,
01.01.18,Neujahrstag,LAND,NRW,
01.01.19,Neujahrstag,LAND,NRW,
