state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2011-11-02,2011-11-04
Baden-Württemberg,Weihnachten,2011-12-23,2012-01-05
Baden-Württemberg,Ostern/Frühjahr,2012-04-02,2012-04-13
Baden-Württemberg,Himmelfahrt/Pfingsten,2012-05-29,2012-06-09
Baden-Württemberg,Sommer,2012-07-26,2011-09-08
Bayern,Herbst,2011-10-31,2011-11-05
Bayern,Weihnachten,2011-12-27,2012-01-05
Bayern,Winter,2012-02-20,2012-02-24
Bayern,Ostern/Frühjahr,2012-04-02,2012-04-14
Bayern,Himmelfahrt/Pfingsten,2012-05-29,2012-06-09
Bayern,Sommer,2012-08-01,2011-09-12
Berlin,Herbst,2011-10-04,2011-10-14
Berlin,Weihnachten,2011-12-23,2012-01-03
Berlin,Winter,2012-01-30,2012-02-04
Berlin,Ostern/Frühjahr,2012-04-02,2012-04-14
Berlin,Himmelfahrt/Pfingsten,2012-04-30,2012-04-30
Berlin,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Berlin,Sommer,2012-06-20,2012-08-03
Brandenburg,Herbst,2011-10-04,2011-10-14
Brandenburg,Weihnachten,2011-12-23,2012-01-03
Brandenburg,Winter,2012-01-30,2012-02-04
Brandenburg,Ostern/Frühjahr,2012-04-04,2012-04-14
Brandenburg,Himmelfahrt/Pfingsten,2012-04-30,2012-04-30
Brandenburg,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Brandenburg,Sommer,2012-06-21,2012-08-03
Bremen,Herbst,2011-10-17,2011-10-29
Bremen,Weihnachten,2011-12-23,2012-01-04
Bremen,Winter,2012-01-30,2012-01-31
Bremen,Ostern/Frühjahr,2012-03-26,2012-04-11
Bremen,Himmelfahrt/Pfingsten,2012-05-29,2012-05-29
Bremen,Sommer,2012-07-23,2012-08-31
Hamburg,Herbst,2011-10-04,2011-10-14
Hamburg,Weihnachten,2011-12-27,2012-01-06
Hamburg,Winter,2012-01-30,2012-01-30
Hamburg,Ostern/Frühjahr,2012-03-05,2012-03-16
Hamburg,Himmelfahrt/Pfingsten,2012-04-30,2012-05-04
Hamburg,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Hamburg,Sommer,2012-06-21,2012-08-01
Hessen,Herbst,2011-10-10,2011-10-22
Hessen,Weihnachten,2011-12-21,2012-01-06
Hessen,Ostern/Frühjahr,2012-04-02,2012-04-14
Hessen,Sommer,2012-07-02,2012-08-10
Mecklenburg-Vorpommern,Herbst,2011-10-17,2011-10-21
Mecklenburg-Vorpommern,Weihnachten,2011-12-23,2012-01-03
Mecklenburg-Vorpommern,Winter,2012-02-06,2012-02-17
Mecklenburg-Vorpommern,Ostern/Frühjahr,2012-04-02,2012-04-11
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2012-05-25,2012-05-29
Mecklenburg-Vorpommern,Sommer,2012-06-23,2012-08-04
Niedersachsen,Herbst,2011-10-17,2011-10-29
Niedersachsen,Weihnachten,2011-12-23,2012-01-04
Niedersachsen,Winter,2012-01-30,2012-01-31
Niedersachsen,Ostern/Frühjahr,2012-03-26,2012-04-11
Niedersachsen,Himmelfahrt/Pfingsten,2012-04-30,2012-04-30
Niedersachsen,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Niedersachsen,Himmelfahrt/Pfingsten,2012-05-29,2012-05-29
Niedersachsen,Sommer,2012-07-23,2012-08-31
Nordrhein-Westfalen,Herbst,2011-10-24,2011-11-05
Nordrhein-Westfalen,Weihnachten,2011-12-23,2012-01-06
Nordrhein-Westfalen,Ostern/Frühjahr,2012-04-02,2012-04-14
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2012-05-29,2012-05-29
Nordrhein-Westfalen,Sommer,2012-07-09,2012-08-21
Rheinland-Pfalz,Herbst,2011-10-04,2011-10-14
Rheinland-Pfalz,Weihnachten,2011-12-22,2012-01-06
Rheinland-Pfalz,Ostern/Frühjahr,2012-03-29,2012-04-13
Rheinland-Pfalz,Sommer,2012-07-02,2012-08-10
Saarland,Herbst,2011-10-04,2011-10-15
Saarland,Weihnachten,2011-12-23,2012-01-04
Saarland,Winter,2012-02-20,2012-02-25
Saarland,Ostern/Frühjahr,2012-04-02,2012-04-14
Saarland,Sommer,2012-07-02,2012-08-14
Sachsen,Herbst,2011-10-17,2011-10-28
Sachsen,Weihnachten,2011-12-23,2012-01-02
Sachsen,Winter,2012-02-13,2012-02-25
Sachsen,Ostern/Frühjahr,2012-04-06,2012-04-14
Sachsen,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Sachsen,Sommer,2012-07-23,2012-08-31
Sachsen-Anhalt,Herbst,2011-10-17,2011-10-22
Sachsen-Anhalt,Weihnachten,2011-12-22,2012-01-07
Sachsen-Anhalt,Winter,2012-02-04,2012-02-11
Sachsen-Anhalt,Ostern/Frühjahr,2012-04-02,2012-04-05
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2012-05-18,2012-05-25
Sachsen-Anhalt,Sommer,2012-07-23,2011-09-05
Schleswig-Holstein,Herbst,2011-10-10,2011-10-22
Schleswig-Holstein,Weihnachten,2011-12-23,2012-01-06
Schleswig-Holstein,Ostern/Frühjahr,2012-03-30,2012-04-13
Schleswig-Holstein,Himmelfahrt/Pfingsten,2012-05-18,2012-05-18
Schleswig-Holstein,Sommer,2012-06-25,2012-08-04
Thüringen,Herbst,2011-10-17,2011-10-28
Thüringen,Weihnachten,2011-12-23,2011-12-31
Thüringen,Winter,2012-02-06,2012-02-11
Thüringen,Ostern/Frühjahr,2012-04-02,2012-04-13
Thüringen,Himmelfahrt/Pfingsten,2012-05-25,2012-05-29
Thüringen,Sommer,2012-07-23,2012-08-31
