state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2015-11-02;2015-11-06
Baden-Württemberg;Weihnachten;2015-12-23;2016-01-09
Baden-Württemberg;Ostern/Frühjahr;2016-03-29;2016-04-02
Baden-Württemberg;Himmelfahrt/Pfingsten;2016-05-17;2016-05-28
Baden-Württemberg;Sommer;2016-07-28;2016-09-10
Bayern;Herbst;2015-11-02;2015-11-07
Bayern;Winter;2016-02-08;2016-02-12
Bayern;Weihnachten;2015-12-24;2016-01-05
Bayern;Ostern/Frühjahr;2016-03-21;2016-04-01
Bayern;Himmelfahrt/Pfingsten;2016-05-17;2016-05-28
Bayern;Sommer;2016-07-30;2016-09-12
Berlin;Herbst;2015-10-19;2015-10-31
Berlin;Weihnachten;2015-12-23;2016-01-02
Berlin;Ostern/Frühjahr;2016-03-21;2016-04-02
Berlin;Winter;2016-02-01;2016-02-06
Berlin;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Berlin;Himmelfahrt/Pfingsten;2016-05-17;2016-05-17
Berlin;Sommer;2016-07-20;2016-09-02
Brandenburg;Herbst;2015-10-19;2015-10-30
Brandenburg;Weihnachten;2015-12-23;2016-01-02
Brandenburg;Winter;2016-02-01;2016-02-06
Brandenburg;Ostern/Frühjahr;2016-03-23;2016-04-02
Brandenburg;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Brandenburg;Himmelfahrt/Pfingsten;2016-05-17;2016-05-17
Brandenburg;Sommer;2016-07-21;2016-09-03
Bremen;Herbst;2015-10-19;2015-10-31
Bremen;Ostern/Frühjahr;2016-03-18;2016-04-02
Bremen;Weihnachten;2015-12-23;2016-01-06
Bremen;Winter;2016-01-28;2016-01-29
Bremen;Himmelfahrt/Pfingsten;2016-05-17;2016-05-17
Bremen;Sommer;2016-06-23;2016-08-03
Hamburg;Herbst;2015-10-19;2015-10-30
Hamburg;Weihnachten;2015-12-21;2016-01-01
Hamburg;Winter;2016-01-29;2016-01-29
Hamburg;Ostern/Frühjahr;2016-03-07;2016-03-18
Hamburg;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Hamburg;Himmelfahrt/Pfingsten;2016-05-17;2016-05-20
Hamburg;Sommer;2016-07-21;2016-08-31
Hessen;Herbst;2015-10-19;2015-10-31
Hessen;Ostern/Frühjahr;2016-03-29;2016-04-09
Hessen;Weihnachten;2015-12-23;2016-01-09
Hessen;Sommer;2016-07-18;2016-08-26
Mecklenburg-Vorpommern;Herbst;2015-10-24;2015-10-30
Mecklenburg-Vorpommern;Ostern/Frühjahr;2016-03-21;2016-03-30
Mecklenburg-Vorpommern;Winter;2016-02-01;2016-02-13
Mecklenburg-Vorpommern;Weihnachten;2015-12-21;2016-01-02
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2016-05-14;2016-05-17
Mecklenburg-Vorpommern;Sommer;2016-07-25;2016-09-03
Niedersachsen;Herbst;2015-10-19;2015-10-31
Niedersachsen;Ostern/Frühjahr;2016-03-18;2016-04-02
Niedersachsen;Weihnachten;2015-12-23;2016-01-06
Niedersachsen;Winter;2016-01-28;2016-01-29
Niedersachsen;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Niedersachsen;Himmelfahrt/Pfingsten;2016-05-17;2016-05-17
Niedersachsen;Sommer;2016-06-23;2016-08-03
Nordrhein-Westfalen;Herbst;2015-10-05;2015-10-17
Nordrhein-Westfalen;Ostern/Frühjahr;2016-03-21;2016-04-02
Nordrhein-Westfalen;Weihnachten;2015-12-23;2016-01-06
Nordrhein-Westfalen;Himmelfahrt/Pfingsten;2016-05-17;2016-05-17
Nordrhein-Westfalen;Sommer;2016-07-11;2016-08-23
Rheinland-Pfalz;Herbst;2015-10-19;2015-10-30
Rheinland-Pfalz;Ostern/Frühjahr;2016-03-18;2016-04-01
Rheinland-Pfalz;Weihnachten;2015-12-23;2016-01-08
Rheinland-Pfalz;Sommer;2016-07-18;2016-08-26
Saarland;Herbst;2015-10-19;2015-10-31
Saarland;Weihnachten;2015-12-21;2016-01-02
Saarland;Winter;2016-02-08;2016-02-13
Saarland;Ostern/Frühjahr;2016-03-29;2016-04-09
Saarland;Sommer;2016-07-18;2016-08-27
Sachsen;Herbst;2015-10-12;2015-10-24
Sachsen;Winter;2016-02-08;2016-02-20
Sachsen;Weihnachten;2015-12-21;2016-01-02
Sachsen;Ostern/Frühjahr;2016-03-25;2016-04-02
Sachsen;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Sachsen;Sommer;2016-06-27;2016-08-05
Sachsen-Anhalt;Herbst;2015-10-17;2015-10-24
Sachsen-Anhalt;Ostern/Frühjahr;2016-03-24;2016-03-24
Sachsen-Anhalt;Weihnachten;2015-12-21;2016-01-05
Sachsen-Anhalt;Winter;2016-02-01;2016-02-10
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2016-05-06;2016-05-14
Sachsen-Anhalt;Sommer;2016-06-27;2016-08-10
Schleswig-Holstein;Herbst;2015-10-19;2015-10-31
Schleswig-Holstein;Ostern/Frühjahr;2016-03-24;2016-04-09
Schleswig-Holstein;Weihnachten;2015-12-21;2016-01-06
Schleswig-Holstein;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Schleswig-Holstein;Sommer;2016-07-25;2016-09-03
Thüringen;Herbst;2015-10-05;2015-10-17
Thüringen;Winter;2016-02-01;2016-02-06
Thüringen;Ostern/Frühjahr;2016-03-24;2016-04-02
Thüringen;Weihnachten;2015-12-23;2016-01-02
Thüringen;Himmelfahrt/Pfingsten;2016-05-06;2016-05-06
Thüringen;Sommer;2016-06-27;2016-08-10
