date,state,holiday
2016-11-02,Baden-Württemberg,Herbst
2016-11-03,Baden-Württemberg,Herbst
2016-11-04,Baden-Württemberg,Herbst
2016-12-23,Baden-Württemberg,Weihnachten
2016-12-24,Baden-Württemberg,Weihnachten
2016-12-25,Baden-Württemberg,Weihnachten
2016-12-26,Baden-Württemberg,Weihnachten
2016-12-27,Baden-Württemberg,Weihnachten
2016-12-28,Baden-Württemberg,Weihnachten
2016-12-29,Baden-Württemberg,Weihnachten
2016-12-30,Baden-Württemberg,Weihnachten
2016-12-31,Baden-Württemberg,Weihnachten
2017-01-01,Baden-Württemberg,Weihnachten
2017-01-02,Baden-Württemberg,Weihnachten
2017-01-03,Baden-Württemberg,Weihnachten
2017-01-04,Baden-Württemberg,Weihnachten
2017-01-05,Baden-Württemberg,Weihnachten
2017-01-06,Baden-Württemberg,Weihnachten
2017-01-07,Baden-Württemberg,Weihnachten
2017-04-10,Baden-Württemberg,Ostern/Frühjahr
2017-04-11,Baden-Württemberg,Ostern/Frühjahr
2017-04-12,Baden-Württemberg,Ostern/Frühjahr
2017-04-13,Baden-Württemberg,Ostern/Frühjahr
2017-04-14,Baden-Württemberg,Ostern/Frühjahr
2017-04-15,Baden-Württemberg,Ostern/Frühjahr
2017-04-16,Baden-Württemberg,Ostern/Frühjahr
2017-04-17,Baden-Württemberg,Ostern/Frühjahr
2017-04-18,Baden-Württemberg,Ostern/Frühjahr
2017-04-19,Baden-Württemberg,Ostern/Frühjahr
2017-04-20,Baden-Württemberg,Ostern/Frühjahr
2017-04-21,Baden-Württemberg,Ostern/Frühjahr
2017-07-27,Baden-Württemberg,Sommer
2017-07-28,Baden-Württemberg,Sommer
2017-07-29,Baden-Württemberg,Sommer
2017-07-30,Baden-Württemberg,Sommer
2017-07-31,Baden-Württemberg,Sommer
2017-08-01,Baden-Württemberg,Sommer
2017-08-02,Baden-Württemberg,Sommer
2017-08-03,Baden-Württemberg,Sommer
2017-08-04,Baden-Württemberg,Sommer
2017-08-05,Baden-Württemberg,Sommer
2017-08-06,Baden-Württemberg,Sommer
2017-08-07,Baden-Württemberg,Sommer
2017-08-08,Baden-Württemberg,Sommer
2017-08-09,Baden-Württemberg,Sommer
2017-08-10,Baden-Württemberg,Sommer
2017-08-11,Baden-Württemberg,Sommer
2017-08-12,Baden-Württemberg,Sommer
2017-08-13,Baden-Württemberg,Sommer
2017-08-14,Baden-Württemberg,Sommer
2017-08-15,Baden-Württemberg,Sommer
2017-08-16,Baden-Württemberg,Sommer
2017-08-17,Baden-Württemberg,Sommer
2017-08-18,Baden-Württemberg,Sommer
2017-08-19,Baden-Württemberg,Sommer
2017-08-20,Baden-Württemberg,Sommer
2017-08-21,Baden-Württemberg,Sommer
2017-08-22,Baden-Württemberg,Sommer
2017-08-23,Baden-Württemberg,Sommer
2017-08-24,Baden-Württemberg,Sommer
2017-08-25,Baden-Württemberg,Sommer
2017-08-26,Baden-Württemberg,Sommer
2017-08-27,Baden-Württemberg,Sommer
2017-08-28,Baden-Württemberg,Sommer
2017-08-29,Baden-Württemberg,Sommer
2017-08-30,Baden-Württemberg,Sommer
2017-08-31,Baden-Württemberg,Sommer
2017-09-01,Baden-Württemberg,Sommer
2017-09-02,Baden-Württemberg,Sommer
2017-09-03,Baden-Württemberg,Sommer
2017-09-04,Baden-Württemberg,Sommer
2017-09-05,Baden-Württemberg,Sommer
2017-09-06,Baden-Württemberg,Sommer
2017-09-07,Baden-Württemberg,Sommer
2017-09-08,Baden-Württemberg,Sommer
2017-09-09,Baden-Württemberg,Sommer
2017-06-06,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-07,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-08,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-09,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-10,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-11,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-12,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-13,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-14,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-15,Baden-Württemberg,Himmelfahrt/Pfingsten
2017-06-16,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-10-31,Bayern,Herbst
2016-11-01,Bayern,Herbst
2016-11-02,Bayern,Herbst
2016-11-03,Bayern,Herbst
2016-11-04,Bayern,Herbst
2016-12-24,Bayern,Weihnachten
2016-12-25,Bayern,Weihnachten
2016-12-26,Bayern,Weihnachten
2016-12-27,Bayern,Weihnachten
2016-12-28,Bayern,Weihnachten
2016-12-29,Bayern,Weihnachten
2016-12-30,Bayern,Weihnachten
2016-12-31,Bayern,Weihnachten
2017-01-01,Bayern,Weihnachten
2017-01-02,Bayern,Weihnachten
2017-01-03,Bayern,Weihnachten
2017-01-04,Bayern,Weihnachten
2017-01-05,Bayern,Weihnachten
2017-02-27,Bayern,Winter
2017-02-28,Bayern,Winter
2017-03-01,Bayern,Winter
2017-03-02,Bayern,Winter
2017-03-03,Bayern,Winter
2017-04-10,Bayern,Ostern/Frühjahr
2017-04-11,Bayern,Ostern/Frühjahr
2017-04-12,Bayern,Ostern/Frühjahr
2017-04-13,Bayern,Ostern/Frühjahr
2017-04-14,Bayern,Ostern/Frühjahr
2017-04-15,Bayern,Ostern/Frühjahr
2017-04-16,Bayern,Ostern/Frühjahr
2017-04-17,Bayern,Ostern/Frühjahr
2017-04-18,Bayern,Ostern/Frühjahr
2017-04-19,Bayern,Ostern/Frühjahr
2017-04-20,Bayern,Ostern/Frühjahr
2017-04-21,Bayern,Ostern/Frühjahr
2017-04-22,Bayern,Ostern/Frühjahr
2017-07-29,Bayern,Sommer
2017-07-30,Bayern,Sommer
2017-07-31,Bayern,Sommer
2017-08-01,Bayern,Sommer
2017-08-02,Bayern,Sommer
2017-08-03,Bayern,Sommer
2017-08-04,Bayern,Sommer
2017-08-05,Bayern,Sommer
2017-08-06,Bayern,Sommer
2017-08-07,Bayern,Sommer
2017-08-08,Bayern,Sommer
2017-08-09,Bayern,Sommer
2017-08-10,Bayern,Sommer
2017-08-11,Bayern,Sommer
2017-08-12,Bayern,Sommer
2017-08-13,Bayern,Sommer
2017-08-14,Bayern,Sommer
2017-08-15,Bayern,Sommer
2017-08-16,Bayern,Sommer
2017-08-17,Bayern,Sommer
2017-08-18,Bayern,Sommer
2017-08-19,Bayern,Sommer
2017-08-20,Bayern,Sommer
2017-08-21,Bayern,Sommer
2017-08-22,Bayern,Sommer
2017-08-23,Bayern,Sommer
2017-08-24,Bayern,Sommer
2017-08-25,Bayern,Sommer
2017-08-26,Bayern,Sommer
2017-08-27,Bayern,Sommer
2017-08-28,Bayern,Sommer
2017-08-29,Bayern,Sommer
2017-08-30,Bayern,Sommer
2017-08-31,Bayern,Sommer
2017-09-01,Bayern,Sommer
2017-09-02,Bayern,Sommer
2017-09-03,Bayern,Sommer
2017-09-04,Bayern,Sommer
2017-09-05,Bayern,Sommer
2017-09-06,Bayern,Sommer
2017-09-07,Bayern,Sommer
2017-09-08,Bayern,Sommer
2017-09-09,Bayern,Sommer
2017-09-10,Bayern,Sommer
2017-09-11,Bayern,Sommer
2017-06-06,Bayern,Himmelfahrt/Pfingsten
2017-06-07,Bayern,Himmelfahrt/Pfingsten
2017-06-08,Bayern,Himmelfahrt/Pfingsten
2017-06-09,Bayern,Himmelfahrt/Pfingsten
2017-06-10,Bayern,Himmelfahrt/Pfingsten
2017-06-11,Bayern,Himmelfahrt/Pfingsten
2017-06-12,Bayern,Himmelfahrt/Pfingsten
2017-06-13,Bayern,Himmelfahrt/Pfingsten
2017-06-14,Bayern,Himmelfahrt/Pfingsten
2017-06-15,Bayern,Himmelfahrt/Pfingsten
2017-06-16,Bayern,Himmelfahrt/Pfingsten
2016-10-17,Berlin,Herbst
2016-10-18,Berlin,Herbst
2016-10-19,Berlin,Herbst
2016-10-20,Berlin,Herbst
2016-10-21,Berlin,Herbst
2016-10-22,Berlin,Herbst
2016-10-23,Berlin,Herbst
2016-10-24,Berlin,Herbst
2016-10-25,Berlin,Herbst
2016-10-26,Berlin,Herbst
2016-10-27,Berlin,Herbst
2016-10-28,Berlin,Herbst
2016-12-23,Berlin,Weihnachten
2016-12-24,Berlin,Weihnachten
2016-12-25,Berlin,Weihnachten
2016-12-26,Berlin,Weihnachten
2016-12-27,Berlin,Weihnachten
2016-12-28,Berlin,Weihnachten
